04-25-2023 	 10:11:06 	 2b854894-b6ee-46f1-a0df-b7c67f9b9f5f 	 GET 	 undefined 	 / 
04-25-2023 	 10:11:31 	 14064bd7-ae3a-46d8-b301-dc9eb50081e8 	 GET 	 undefined 	 /employees 
04-25-2023 	 10:13:15 	 bfe0386c-7689-4629-9d97-3577e82386c7 	 POST 	 undefined 	 /employees 
04-25-2023 	 10:13:37 	 9098504a-2682-4e1d-89cc-345d5c38879f 	 POST 	 undefined 	 /employees 
04-25-2023 	 10:14:32 	 8a687b4d-8a65-4e5b-8a3d-0d611e28daf3 	 PUT 	 undefined 	 /employees 
04-25-2023 	 10:14:49 	 d197183d-b27f-4407-9497-6285511791c8 	 POST 	 undefined 	 /employees 
04-25-2023 	 10:14:53 	 b71f7d1f-1cad-4fd5-b419-d313ef187d6a 	 GET 	 undefined 	 /employees 
04-25-2023 	 10:15:14 	 0d6c3b58-a6a5-430a-9598-060b871a11db 	 DELETE 	 undefined 	 /employees 
04-25-2023 	 10:15:20 	 ae8787ce-188b-40f6-8858-95d3608b11cd 	 GET 	 undefined 	 /employees 
04-25-2023 	 10:15:26 	 e0818bec-c033-446e-8d08-f32b9b28400c 	 GET 	 undefined 	 /employees/644896e176a0bae75ce7267f 
04-25-2023 	 10:17:24 	 01c7184d-4013-4369-988d-b11aa5ca2e3a 	 GET 	 undefined 	 /employees 
04-25-2023 	 10:17:31 	 cfc8ec0a-8d31-44bd-a99d-7a813645572a 	 GET 	 undefined 	 /employees/644896e176a0bae75ce7267f 
04-25-2023 	 10:18:43 	 09ab46d4-e478-4488-b1c5-43d2198ba9bf 	 GET 	 undefined 	 /employees/ 
04-25-2023 	 10:19:03 	 a6e2393b-1156-4c12-9d8a-97303a757fbf 	 GET 	 undefined 	 /employees/ 
04-25-2023 	 10:20:07 	 92a3f4e0-e289-4dae-bbf2-323b7636bcb4 	 POST 	 undefined 	 /employees/ 
04-25-2023 	 10:20:11 	 d7a265e4-e4ec-45b0-b501-16c82e5aaffa 	 GET 	 undefined 	 /employees/ 
04-25-2023 	 10:20:26 	 f26c24c2-d249-4534-8a2d-000552026519 	 GET 	 undefined 	 /employees/ 
04-25-2023 	 10:20:40 	 4a802e77-35f5-481b-b914-f99731cdfdf6 	 GET 	 undefined 	 /employees/644896e176a0bae75ce7267f 
04-25-2023 	 10:22:45 	 5f446130-ac47-477c-a937-d4fe62178223 	 GET 	 undefined 	 /employees/644896e176a0bae75ce7267f 
04-25-2023 	 10:24:22 	 4be2da08-6f33-4921-9e38-9f41add0a036 	 GET 	 undefined 	 /employees/644896e176a0bae75ce7267f 
04-25-2023 	 10:24:28 	 aca90cd3-3a44-4b1f-a51b-2ddee2aec0db 	 GET 	 undefined 	 /employees 
04-25-2023 	 10:24:34 	 50c186b4-3fcd-49d3-8a24-6497498018ed 	 GET 	 undefined 	 /employees/644898674dec65ad6b2f485c 
04-25-2023 	 10:24:53 	 a740406d-5178-49ee-a1ca-fb71b7461f59 	 DELETE 	 undefined 	 /employees/644898674dec65ad6b2f485c 
04-25-2023 	 10:25:13 	 b8a84feb-658e-4956-85f0-7e605c113c1d 	 DELETE 	 undefined 	 /employees 
04-25-2023 	 10:25:21 	 f972ac24-92a2-4c1c-ab2c-7bfd1f020dc7 	 GET 	 undefined 	 /employees 
05-03-2023 	 04:11:05 	 d2c537e7-e03a-478d-80db-3378c9eeed33 	 POST 	 undefined 	 /register 
05-03-2023 	 04:11:44 	 b3601562-ca69-4695-833f-1598f34ff96a 	 GET 	 undefined 	 / 
05-03-2023 	 04:11:52 	 93ee3969-6232-47a8-9e5a-f9781f7747f9 	 POST 	 undefined 	 /register 
05-03-2023 	 04:12:43 	 a390e50b-2991-48b8-80a4-e8a1f44cebf2 	 POST 	 undefined 	 /register 
05-03-2023 	 04:15:18 	 6fc9d3ba-25c5-4452-a51e-40a318b1ad7a 	 POST 	 undefined 	 /register 
05-03-2023 	 04:27:11 	 82024a79-8e20-4b4f-a8c4-c36539c33250 	 POST 	 undefined 	 /auth 
05-03-2023 	 07:15:24 	 51ec748d-17ec-467f-ba32-24324bd48938 	 POST 	 undefined 	 / 
05-03-2023 	 07:15:34 	 8ba057a3-acaf-41dc-99b5-08c83ebfc937 	 GET 	 undefined 	 / 
05-03-2023 	 07:15:53 	 67d2a00a-7f7b-4dbe-b6f1-74e6e58c9ca3 	 GET 	 undefined 	 /new-page/ 
05-03-2023 	 07:16:08 	 033822d9-dbfe-48b4-979f-e50001571e17 	 GET 	 undefined 	 /old-page/ 
05-03-2023 	 07:16:47 	 7297b6a8-7c2e-45ef-a3b6-011e6ac91fe8 	 GET 	 undefined 	 /old-page.html/ 
05-03-2023 	 07:16:47 	 dd2d5443-1bbe-4b00-804e-df2e84d5684a 	 GET 	 undefined 	 /old-page.html/new-page.html 
05-03-2023 	 07:17:24 	 b4ec98a4-28fc-405d-aa73-c9fd68e62d56 	 GET 	 undefined 	 /new-page.html/ 
05-06-2023 	 02:17:36 	 6a0ec590-6dfc-4471-825a-bb18c9085e2e 	 GET 	 undefined 	 /new-page.html/ 
